frequency2,S11_C,S21_C
23.1025,-0.047692265,-24.35201993
23.105,-0.047162808,-24.44477082
23.1075,-0.046643647,-24.53723056
23.11,-0.046134525,-24.6294007
23.1125,-0.045635194,-24.72128282
23.115,-0.045145412,-24.81287847
23.1175,-0.044664944,-24.90418919
23.12,-0.044193562,-24.99521651
23.1225,-0.043731045,-25.08596196
23.125,-0.043277177,-25.17642704
23.1275,-0.04283175,-25.26661326
23.13,-0.04239456,-25.35652211
23.1325,-0.041965409,-25.44615506
23.135,-0.041544107,-25.53551358
23.1375,-0.041130466,-25.62459914
23.14,-0.040724305,-25.71341317
23.1425,-0.040325447,-25.80195712
23.145,-0.039933722,-25.89023242
23.1475,-0.039548962,-25.97824047
23.15,-0.039171006,-26.0659827
23.1525,-0.038799695,-26.15346048
23.155,-0.038434877,-26.24067521
23.1575,-0.038076401,-26.32762827
23.16,-0.037724123,-26.41432101
23.1625,-0.037377902,-26.50075481
23.165,-0.037037601,-26.58693099
23.1675,-0.036703084,-26.67285091
23.17,-0.036374223,-26.75851588
23.1725,-0.03605089,-26.84392722
23.175,-0.035732962,-26.92908625
23.1775,-0.035420319,-27.01399424
23.18,-0.035112844,-27.09865251
23.1825,-0.034810423,-27.18306232
23.185,-0.034512946,-27.26722494
23.1875,-0.034220304,-27.35114163
23.19,-0.033932392,-27.43481365
23.1925,-0.033649107,-27.51824223
23.195,-0.033370351,-27.6014286
23.1975,-0.033096024,-27.684374
23.2,-0.032826034,-27.76707963
23.2025,-0.032560287,-27.8495467
23.205,-0.032298693,-27.93177641
23.2075,-0.032041165,-28.01376994
23.21,-0.031787618,-28.09552848
23.2125,-0.031537967,-28.17705318
23.215,-0.031292132,-28.25834523
23.2175,-0.031050033,-28.33940575
23.22,-0.030811593,-28.42023592
23.2225,-0.030576737,-28.50083685
23.225,-0.030345392,-28.58120968
23.2275,-0.030117485,-28.66135552
23.23,-0.029892947,-28.74127549
23.2325,-0.02967171,-28.8209707
23.235,-0.029453707,-28.90044223
23.2375,-0.029238873,-28.97969118
23.24,-0.029027144,-29.05871862
23.2425,-0.02881846,-29.13752563
